ts_real,ts_ms,gsr_conductance_uS,gsr_resistance_ohm,gsr_voltage_V,airflow_voltage_V,ecg_voltage_V
18:41:09.383,20,0.0000,0.00,0.0000,0.3763,0.0000
18:41:09.396,40,0.0000,0.00,0.0000,0.3959,0.0000
18:41:09.416,60,0.0000,0.00,0.0000,0.3959,0.0000
18:41:09.435,80,0.0000,0.00,0.0000,0.4008,0.0000
18:41:09.442,100,0.0000,0.00,0.0000,0.4057,0.0049
18:41:09.446,120,0.0000,0.00,0.0000,0.3666,0.0049
18:41:09.455,140,0.0000,0.00,0.0000,0.3519,0.0000
18:41:09.462,160,0.0000,0.00,0.0000,0.3861,0.0000
18:41:09.466,180,0.0000,0.00,0.0000,0.4008,0.0000
18:41:09.470,200,0.0000,0.00,0.0000,0.4008,0.0049
18:41:09.480,220,0.0000,0.00,0.0000,0.4057,0.0049
18:41:09.480,240,0.0000,0.00,0.0000,0.3910,0.0000
18:41:09.480,260,0.0000,0.00,0.0000,0.3910,0.0000
18:41:09.482,280,0.0000,0.00,0.0000,0.3959,0.0000
18:41:09.482,300,0.0000,0.00,0.0000,0.4008,0.0049
18:41:09.484,320,0.0000,0.00,0.0000,0.3959,0.0049
18:41:09.484,340,0.0000,0.00,0.0000,0.3812,0.0000
18:41:09.484,360,0.0000,0.00,0.0000,0.3959,0.0000
18:41:09.486,380,0.0000,0.00,0.0000,0.3910,0.0000
18:41:09.486,400,0.0000,0.00,0.0000,0.3959,0.0049
18:41:09.488,420,0.0000,0.00,0.0000,0.3959,0.0049
18:41:09.488,440,0.0000,0.00,0.0000,0.3617,0.0000
18:41:09.490,460,0.0000,0.00,0.0000,0.3812,0.0000
18:41:09.492,480,0.0000,0.00,0.0000,0.3910,0.0000
18:41:09.494,500,0.0000,0.00,0.0000,0.3861,0.0049
18:41:09.495,520,0.0000,0.00,0.0000,0.3861,0.0049
18:41:09.497,540,0.0000,0.00,0.0000,0.3568,0.0000
18:41:09.497,560,0.0000,0.00,0.0000,0.3861,0.0000
18:41:09.518,580,0.0000,0.00,0.0000,0.3910,0.0000
18:41:09.542,600,0.0000,0.00,0.0000,0.3812,0.0000
18:41:09.557,620,0.0000,0.00,0.0000,0.3861,0.0049
18:41:09.566,640,0.0000,0.00,0.0000,0.3470,0.0000
18:41:09.597,660,0.0000,0.00,0.0000,0.3812,0.0000
18:41:09.610,680,0.0000,0.00,0.0000,0.3715,0.0000
18:41:09.611,700,0.0000,0.00,0.0000,0.3812,0.0049
18:41:09.621,720,0.0000,0.00,0.0000,0.3959,0.0049
18:41:09.645,740,0.0000,0.00,0.0000,0.3617,0.0000
18:41:09.668,760,0.0000,0.00,0.0000,0.3959,0.0000
18:41:09.675,780,0.0000,0.00,0.0000,0.3910,0.0000
18:41:09.677,800,0.0000,0.00,0.0000,0.3861,0.0049
18:41:09.696,820,0.0000,0.00,0.0000,0.3763,0.0049
18:41:09.702,840,0.0000,0.00,0.0000,0.2884,0.0000
18:41:09.765,860,0.0000,0.00,0.0000,0.3715,0.0000
18:41:09.773,880,0.0000,0.00,0.0000,0.3861,0.0000
18:41:09.797,900,0.0000,0.00,0.0000,0.3910,0.0000
18:41:09.821,920,0.0000,0.00,0.0000,0.3910,0.0000
18:41:09.827,940,0.0000,0.00,0.0000,0.3275,0.0000
18:41:09.861,960,0.0000,0.00,0.0000,0.3763,0.0000
18:41:09.876,980,0.0000,0.00,0.0000,0.3910,0.0000
18:41:09.879,1000,0.0000,0.00,0.0000,0.3959,0.0049
18:41:09.895,1020,0.0000,0.00,0.0000,0.3959,0.0000
18:41:09.914,1040,0.0000,0.00,0.0000,0.3959,0.0000
18:41:09.946,1060,0.0000,0.00,0.0000,0.3568,0.0000
18:41:09.969,1080,0.0000,0.00,0.0000,0.3812,0.0000
18:41:09.979,1100,0.0000,0.00,0.0000,0.3812,0.0049
18:41:10.020,1120,0.0000,0.00,0.0000,0.3763,0.0049
18:41:10.031,1140,0.0000,0.00,0.0000,0.3812,0.0000
18:41:10.055,1160,0.0000,0.00,0.0000,0.3715,0.0000
18:41:10.071,1180,0.0000,0.00,0.0000,0.3763,0.0000
18:41:10.077,1200,0.0000,0.00,0.0000,0.3617,0.0000
18:41:10.095,1220,0.0000,0.00,0.0000,0.3666,0.0000
18:41:10.132,1240,0.0000,0.00,0.0000,0.3470,0.0000
18:41:10.162,1260,0.0000,0.00,0.0000,0.3617,0.0000
18:41:10.168,1280,0.0000,0.00,0.0000,0.3763,0.0000
18:41:10.212,1300,0.0000,0.00,0.0000,0.3763,0.0049
18:41:10.217,1320,0.0000,0.00,0.0000,0.3324,0.0000
18:41:10.217,1340,0.0000,0.00,0.0000,0.3763,0.0000
18:41:10.243,1360,0.0000,0.00,0.0000,0.3519,0.0000
18:41:10.265,1380,0.0000,0.00,0.0000,0.3763,0.0000
18:41:10.278,1400,0.0000,0.00,0.0000,0.3861,0.0049
18:41:10.295,1420,0.0000,0.00,0.0000,0.3812,0.0049
18:41:10.342,1440,0.0000,0.00,0.0000,0.3812,0.0000
18:41:10.362,1460,0.0000,0.00,0.0000,0.3470,0.0000
18:41:10.368,1480,0.0000,0.00,0.0000,0.3763,0.0000
18:41:10.410,1500,0.0000,0.00,0.0000,0.3715,0.0000
18:41:10.421,1520,0.0000,0.00,0.0000,0.3372,0.0000
18:41:10.426,1540,0.0000,0.00,0.0000,0.3666,0.0000
18:41:10.467,1560,0.0000,0.00,0.0000,0.3519,0.0000
18:41:10.482,1580,0.0000,0.00,0.0000,0.3763,0.0000
18:41:10.485,1600,0.0000,0.00,0.0000,0.3812,0.0000
18:41:10.498,1620,0.0000,0.00,0.0000,0.3666,0.0000
18:41:10.516,1640,0.0000,0.00,0.0000,0.3715,0.0000
18:41:10.548,1660,0.0000,0.00,0.0000,0.3030,0.0000
18:41:10.578,1680,0.0000,0.00,0.0000,0.3568,0.0000
18:41:10.584,1700,0.0000,0.00,0.0000,0.3568,0.0049
18:41:10.608,1720,0.0000,0.00,0.0000,0.3519,0.0000
18:41:10.638,1740,0.0000,0.00,0.0000,0.3617,0.0000
18:41:10.642,1760,0.0000,0.00,0.0000,0.2737,0.0000
18:41:10.667,1780,0.0000,0.00,0.0000,0.3372,0.0000
18:41:10.676,1800,0.0000,0.00,0.0000,0.3568,0.0000
18:41:10.702,1820,0.0000,0.00,0.0000,0.3421,0.0000
18:41:10.714,1840,0.0000,0.00,0.0000,0.3324,0.0000
18:41:10.733,1860,0.0000,0.00,0.0000,0.3079,0.0000
18:41:10.754,1880,0.0000,0.00,0.0000,0.3519,0.0000
18:41:10.802,1900,0.0000,0.00,0.0000,0.3715,0.0049
18:41:10.833,1920,0.0000,0.00,0.0000,0.3666,0.0000
18:41:10.838,1940,0.0000,0.00,0.0000,0.3275,0.0000
18:41:10.856,1960,0.0000,0.00,0.0000,0.3617,0.0000
18:41:10.868,1980,0.0000,0.00,0.0000,0.3519,0.0000
18:41:10.892,2000,0.0000,0.00,0.0000,0.3519,0.0049
18:41:10.894,2020,0.0000,0.00,0.0000,0.3519,0.0000
18:41:10.935,2040,0.0000,0.00,0.0000,0.3519,0.0000
18:41:10.948,2060,0.0000,0.00,0.0000,0.3568,0.0000
18:41:10.960,2080,0.0000,0.00,0.0000,0.3470,0.0000
18:41:10.964,2100,0.0000,0.00,0.0000,0.3666,0.0000
18:41:11.016,2120,0.0000,0.00,0.0000,0.3763,0.0000
18:41:11.035,2140,0.0000,0.00,0.0000,0.3715,0.0000
18:41:11.038,2160,0.0000,0.00,0.0000,0.3715,0.0000
18:41:11.073,2180,0.0000,0.00,0.0000,0.3519,0.0000
18:41:11.080,2200,0.0000,0.00,0.0000,0.3666,0.0000
18:41:11.111,2220,0.0000,0.00,0.0000,0.3421,0.0000
18:41:11.118,2240,0.0000,0.00,0.0000,0.3666,0.0000
18:41:11.137,2260,0.0000,0.00,0.0000,0.3617,0.0000
18:41:11.154,2280,0.0000,0.00,0.0000,0.3519,0.0000
18:41:11.200,2300,0.0000,0.00,0.0000,0.3666,0.0000
18:41:11.204,2320,0.0000,0.00,0.0000,0.3715,0.0000
18:41:11.252,2340,0.0000,0.00,0.0000,0.3715,0.0000
18:41:11.261,2360,0.0000,0.00,0.0000,0.3568,0.0000
18:41:11.267,2380,0.0000,0.00,0.0000,0.3372,0.0000
18:41:11.297,2400,0.0000,0.00,0.0000,0.3177,0.0000
18:41:11.305,2420,0.0000,0.00,0.0000,0.3617,0.0000
18:41:11.320,2440,0.0000,0.00,0.0000,0.3666,0.0000
18:41:11.334,2460,0.0000,0.00,0.0000,0.3568,0.0000
18:41:11.386,2480,0.0000,0.00,0.0000,0.3372,0.0000
18:41:11.393,2500,0.0000,0.00,0.0000,0.3666,0.0000
18:41:11.409,2520,0.0000,0.00,0.0000,0.3763,0.0000
18:41:11.428,2540,0.0000,0.00,0.0000,0.3177,0.0000
18:41:11.450,2560,0.0000,0.00,0.0000,0.3324,0.0000
18:41:11.474,2580,0.0000,0.00,0.0000,0.3030,0.0000
18:41:11.480,2600,0.0000,0.00,0.0000,0.3568,0.0000
18:41:11.494,2620,0.0000,0.00,0.0000,0.3617,0.0000
18:41:11.549,2640,0.0000,0.00,0.0000,0.3275,0.0000
18:41:11.560,2660,0.0000,0.00,0.0000,0.3519,0.0000
18:41:11.565,2680,0.0000,0.00,0.0000,0.2884,0.0000
18:41:11.592,2700,0.0000,0.00,0.0000,0.3470,0.0000
18:41:11.602,2720,0.0000,0.00,0.0000,0.3519,0.0000
18:41:11.636,2740,0.0000,0.00,0.0000,0.3421,0.0000
18:41:11.646,2760,0.0000,0.00,0.0000,0.3372,0.0000
18:41:11.658,2780,0.0000,0.00,0.0000,0.3617,0.0000
18:41:11.676,2800,0.0000,0.00,0.0000,0.2786,0.0000
18:41:11.710,2820,0.0000,0.00,0.0000,0.3372,0.0000
18:41:11.740,2840,0.0000,0.00,0.0000,0.2933,0.0000
18:41:11.745,2860,0.0000,0.00,0.0000,0.3421,0.0000
18:41:11.766,2880,0.0000,0.00,0.0000,0.3568,0.0000
18:41:11.784,2900,0.0000,0.00,0.0000,0.3519,0.0000
18:41:11.821,2920,0.0000,0.00,0.0000,0.3568,0.0000
18:41:11.836,2940,0.0000,0.00,0.0000,0.3568,0.0000
18:41:11.836,2960,0.0000,0.00,0.0000,0.3226,0.0000
18:41:11.851,2980,0.0000,0.00,0.0000,0.3519,0.0000
18:41:11.913,3000,0.0000,0.00,0.0000,0.3030,0.0000
18:41:11.923,3020,0.0000,0.00,0.0000,0.3470,0.0000
18:41:11.925,3040,0.0000,0.00,0.0000,0.3372,0.0000
18:41:11.964,3060,0.0000,0.00,0.0000,0.2981,0.0000
18:41:11.968,3080,0.0000,0.00,0.0000,0.3079,0.0000
18:41:12.003,3100,0.0000,0.00,0.0000,0.3275,0.0000
18:41:12.014,3120,0.0000,0.00,0.0000,0.3519,0.0049
18:41:12.020,3140,0.0000,0.00,0.0000,0.3568,0.0000
18:41:12.036,3160,0.0000,0.00,0.0000,0.3568,0.0000
18:41:12.057,3180,0.0000,0.00,0.0000,0.3568,0.0000
18:41:12.099,3200,0.0000,0.00,0.0000,0.3128,0.0000
18:41:12.103,3220,0.0000,0.00,0.0000,0.3275,0.0000
18:41:12.126,3240,0.0000,0.00,0.0000,0.3128,0.0000
18:41:12.146,3260,0.0000,0.00,0.0000,0.3275,0.0000
18:41:12.180,3280,0.0000,0.00,0.0000,0.3324,0.0000
18:41:12.193,3300,0.0000,0.00,0.0000,0.2053,0.0049
18:41:12.198,3320,0.0000,0.00,0.0000,0.2933,0.0000
18:41:12.215,3340,0.0000,0.00,0.0000,0.3177,0.0000
18:41:12.236,3360,0.0000,0.00,0.0000,0.3324,0.0000
18:41:12.279,3380,0.0000,0.00,0.0000,0.3421,0.0000
18:41:12.296,3400,0.0000,0.00,0.0000,0.2737,0.0000
18:41:12.303,3420,0.0000,0.00,0.0000,0.3324,0.0000
18:41:12.342,3440,0.0000,0.00,0.0000,0.3519,0.0000
18:41:12.354,3460,0.0000,0.00,0.0000,0.3030,0.0000
18:41:12.378,3480,0.0000,0.00,0.0000,0.3079,0.0000
18:41:12.400,3500,0.0000,0.00,0.0000,0.2346,0.0000
18:41:12.408,3520,0.0000,0.00,0.0000,0.3275,0.0000
18:41:12.417,3540,0.0000,0.00,0.0000,0.3519,0.0000
18:41:12.436,3560,0.0000,0.00,0.0000,0.3568,0.0000
18:41:12.483,3580,0.0000,0.00,0.0000,0.3617,0.0000
18:41:12.504,3600,0.0000,0.00,0.0000,0.3128,0.0000
18:41:12.510,3620,0.0000,0.00,0.0000,0.3519,0.0000
18:41:12.549,3640,0.0000,0.00,0.0000,0.3324,0.0000
18:41:12.556,3660,0.0000,0.00,0.0000,0.3519,0.0000
18:41:12.580,3680,0.0000,0.00,0.0000,0.3079,0.0000
18:41:12.597,3700,0.0000,0.00,0.0000,0.3324,0.0000
18:41:12.607,3720,0.0000,0.00,0.0000,0.2884,0.0000
18:41:12.619,3740,0.0000,0.00,0.0000,0.3324,0.0000
18:41:12.637,3760,0.0000,0.00,0.0000,0.3324,0.0000
18:41:12.676,3780,0.0000,0.00,0.0000,0.3470,0.0000
18:41:12.699,3800,0.0000,0.00,0.0000,0.3470,0.0000
18:41:12.704,3820,0.0000,0.00,0.0000,0.3324,0.0000
18:41:12.744,3840,0.0000,0.00,0.0000,0.3421,0.0000
18:41:12.759,3860,0.0000,0.00,0.0000,0.3226,0.0000
18:41:12.763,3880,0.0000,0.00,0.0000,0.3421,0.0000
18:41:12.802,3900,0.0000,0.00,0.0000,0.3470,0.0000
18:41:12.821,3920,0.0000,0.00,0.0000,0.2835,0.0000
18:41:12.823,3940,0.0000,0.00,0.0000,0.3226,0.0000
18:41:12.840,3960,0.0000,0.00,0.0000,0.3324,0.0000
18:41:12.852,3980,0.0000,0.00,0.0000,0.3372,0.0000
18:41:12.894,4000,0.0000,0.00,0.0000,0.2590,0.0000
18:41:12.920,4020,0.0000,0.00,0.0000,0.3079,0.0000
18:41:12.923,4040,0.0000,0.00,0.0000,0.3372,0.0000
18:41:12.952,4060,0.0000,0.00,0.0000,0.3324,0.0000
18:41:12.977,4080,0.0000,0.00,0.0000,0.2933,0.0000
18:41:12.981,4100,0.0000,0.00,0.0000,0.3324,0.0000
18:41:13.028,4120,0.0000,0.00,0.0000,0.3079,0.0000
18:41:13.033,4140,0.0000,0.00,0.0000,0.3177,0.0000
18:41:13.042,4160,0.0000,0.00,0.0000,0.3372,0.0000
18:41:13.058,4180,0.0000,0.00,0.0000,0.3324,0.0000
