run_id,task,music_condition,started_at,accuracy,mean_rt_ms,errors,n_correct,omissions,score,grade,bpm_mean,rmssd_mean,gsr_mean,resp_mean
7207c456eee6,nback_2,sin_musica,1780299077.353736,0.5,779.6,19,,,,,64.08,344.56,3.958,14.0
451e97023977,stroop,sin_musica,1780299466.0773964,0.8,1689.3,8,,,,,62.83,368.61,3.737,14.0
fb6d65539885,nback_2,sin_musica,1780299675.5696115,0.5526,1481.7,17,21,13,,,63.23,362.21,4.14,14.0
daa1e013ca44,stroop,sin_musica,1780299826.6678927,0.375,548.4,25,,,,,63.88,373.17,3.756,14.0
2abb68f20125,nback_2,sin_musica,1780300592.5823503,0.0,0.0,38,0,38,0.0,Bajo,63.7,355.96,4.122,14.0
365e2e4b71f1,nback_2,sin_musica,1780300716.2757666,0.0,0.0,38,0,38,0.0,Bajo,63.72,356.08,3.845,14.0
3ed00405820e,nback_2,sin_musica,1780300964.189574,0.3684,1399.6,24,14,23,29.6,Bajo,61.21,472.51,4.266,14.0
b60f6636010d,nback_2,sin_musica,1780301150.0015616,0.9737,1560.0,1,37,0,97.4,Excelente,63.83,368.61,3.776,14.0
e01418baf754,nback_2,sin_musica,1780301270.3036034,0.8684,1589.4,5,33,0,86.8,Bueno,63.16,389.75,4.269,14.0
4980a7f5d59c,stroop,sin_musica,1780301392.3917556,0.925,1654.0,3,,,81.2,Bueno,63.75,368.45,3.716,14.0
